Reference, Quantity, Value, Footprint, Description, JLCPCB, JCLC, Color, C
R1,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R2,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R3,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R4,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R5,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R6,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R7,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
R8,1,0402WGF1001TCE,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,
D1,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D2,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D3,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D4,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D5,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D6,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D7,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
D8,1,19-217/GHC-YR1S2/3T,LED_SMD:LED_0603_1608Metric,,C72043,C72043,,
,,,,,C72043,C72043,,